id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<tfidf>	weight<Occurrences>	score<pageranks>
68	三公	-0.7123	0.6262	1	39	63.5381	0.0024	3	0.0026
69	妃	-0.7196	0.1019	1	58	93.752	0.0018	3	0.003
70	訟	-0.3021	0.1274	1	72	115.8794	0.0044	3	0.0039
71	孝	0.3457	0.2492	2	86	140.1007	0.0018	3	0.0051
72	史記	-0.6379	0.1104	1	103	170.8821	0.0006	1	0.0051
73	尚書	-0.5142	-0.0858	1	74	121.1922	0.0089	14	0.0037
74	辛亥	-0.2399	0.4361	1	56	91.6248	0.001	3	0.0031
75	道	0.0766	0.2554	1	63	100.9441	0.0049	6	0.0033
76	常禮	-0.2849	0.0031	1	124	208.0835	0.0011	1	0.0063
77	時	-0.9061	0.2685	1	74	119.4098	0.0293	62	0.0037
78	明文	-0.808	-0.0722	1	51	83.8429	0.0019	3	0.0028
79	案	0.2968	0.144	2	71	114.8117	0.0027	5	0.004
80	杜子春	-0.1632	0.2035	1	91	149.9275	0.0036	4	0.0046
81	兆	0.0185	0.1344	1	79	129.3822	0.0027	3	0.0041
82	毛詩傳	-0.5537	0.0183	1	112	185.7436	0.0052	3	0.0056
83	公子	-0.9752	0.5566	1	31	52.2084	0.0015	3	0.0019
84	亡	-0.475	-0.2549	1	82	132.9772	0.0026	4	0.0042
85	昏禮	-0.3997	0.0018	1	135	226.3562	0.0012	1	0.0068
86	尚書緯	-0.4376	0.1613	1	129	217.878	0.0046	3	0.0065
87	螳蜋	0.0163	-0.0924	2	46	72.7461	0.0031	3	0.003
88	歌	-0.7422	0.0042	1	75	122.0714	0.0046	5	0.0037
89	禫	-0.4322	-0.2237	1	71	117.2112	0.0027	3	0.0037
90	終	-0.2719	0.1373	1	109	180.6817	0.0025	4	0.0055
91	誅	-0.6337	0.2158	1	106	175.5226	0.0032	4	0.0052
92	禹	-0.6655	-0.182	1	52	83.1221	0.0039	6	0.0027
93	姜嫄	-0.6886	0.0827	1	62	101.5624	0.0018	3	0.0032
94	法度	-0.4416	0.2188	1	123	206.3199	0.0012	1	0.0062
95	禦	-0.5652	0.2441	1	18	28.8976	0.0016	3	0.0012
96	箋	-0.7391	0.1657	1	55	90.8136	0.0071	10	0.003
97	祭祀	-0.2309	-0.1839	1	86	141.525	0.0034	3	0.0044
98	忠信	-0.8854	0.3665	1	53	86.7975	0.0042	4	0.0028
99	責	0.093	0.0851	1	97	159.5677	0.0024	3	0.0051
100	善	-0.6103	0.1655	1	103	170.4479	0.003	3	0.0051
101	晉	-0.8999	0.15	1	41	67.1935	0.0034	4	0.0024
102	正月	-0.5869	0.1169	1	95	156.7331	0.0035	3	0.0049
103	兩	-0.5575	-0.0633	1	119	195.5781	0.0039	4	0.0059
104	堪輿	-0.1391	0.5194	1	49	82.5502	0.0003	1	0.0029
105	近	-0.4217	0.5176	1	53	85.7203	0.0036	5	0.003
106	厭	-0.3634	0.5281	1	52	86.0655	0.001	3	0.0031
107	樂記	-0.7907	0.4187	1	63	105.367	0.0009	1	0.0033
108	王者	-0.9626	0.2113	1	69	112.6428	0.0044	4	0.0036
109	請	-0.4723	-0.0495	1	51	80.4778	0.0038	6	0.0027
